LitterRef	Weight	MotherID	DateOfBirth	flag	Number_total	BodyLength
281	11	L14F015	1/12/17	0	9	18.95
281	11	L14F015	1/12/17	0	9	18.95
281	10	L14F015	1/12/17	0	9	18.95
382	12	L14F015	11/22/17	0	6	19.6
382	13	L14F015	11/22/17	0	6	19.6
159	13	L14F015	12/10/15	1	6	18.6
194	14	L14F015	4/9/16	0	7	18.95
194	11	L14F015	4/9/16	0	7	18.95
281	11	L14F015	1/12/17	0	9	18.95
281	11	L14F015	1/12/17	0	9	18.95
326	12	L14F015	5/18/17	0	6	18.85
223	11	L2F005	7/31/16	0	7	17.95
223	11	L2F005	7/31/16	0	7	17.95
223	11	L2F005	7/31/16	0	7	17.95
74	7	L2F005	11/22/14	0	8	17.45
74	9	L2F005	11/22/14	0	8	17.45
74	8	L2F005	11/22/14	0	8	17.45
74	9	L2F005	11/22/14	0	8	17.45
36	13	L2F011	5/23/14	1	6	17.6
36	12	L2F011	5/23/14	1	6	17.6
73	11	L2F011	10/29/14	0	8	17.5
73	10	L2F011	10/29/14	0	8	17.5
115	10	L2F011	5/26/15	0	6	17.76666667
115	12	L2F011	5/26/15	0	6	17.76666667
146	11	L2F011	11/19/15	0	8	17.93333333
188	12	L2F011	3/31/16	0	7	18
188	9	L2F011	3/31/16	0	7	18
312	11	L2F011	4/10/17	0	8	18.15
312	10	L2F011	4/10/17	0	8	18.15
368	9	L2F011	10/5/17	0	7	18.2
368	10	L2F011	10/5/17	0	7	18.2
404	11	L2F011	2/3/18	0	7	18.2
437	10	L2F011	6/16/18	0	7	18.1
437	10	L2F011	6/16/18	0	7	18.1
73	10	L2F011	10/29/14	0	8	17.5
73	12	L2F011	10/29/14	0	8	17.5
146	10	L2F011	11/19/15	0	8	17.93333333
146	11	L2F011	11/19/15	0	8	17.93333333
146	10	L2F011	11/19/15	0	8	17.93333333
188	10	L2F011	3/31/16	0	7	18
267	6	L2F011	12/18/16	0	5	18.15
312	8	L2F011	4/10/17	0	8	18.15
312	9	L2F011	4/10/17	0	8	18.15
368	9	L2F011	10/5/17	0	7	18.2
404	11	L2F011	2/3/18	0	7	18.2
404	10	L2F011	2/3/18	0	7	18.2
437	11	L2F011	6/16/18	0	7	18.1
267	4	L2F011	12/18/16	0	5	18.15
242	12	L2F020	10/18/16	0	6	18.3
346	10	L2F020	8/17/17	0	8	18.45
